Make,Date,Series,Title,Person,Rating (Sell),Weather,Shape,Cost
Cambs,23/06/2022,Comfort,Bergen Four Person,4,2,Sunny,Square,299
Cambs,23/06/2022,Comfort,Bergen Six Person,6,3,Sunny,Square,350
Cambs,23/06/2022,Comfort,Tekapo Six person,6,3,Sunny,Round,579
Cambs,23/06/2022,Comfort,Tekapo Four person,4,3,Sunny,Round,499
Cambs,23/06/2022,Frame,Tuscany Six Person,6,5,Sunny,Round,1299
Cambs,23/06/2022,Frame,Mono Six Person,6,5,Sunny,Round,999
Cambs,23/06/2022,Urban,Rimba Six person,6,5,Sunny,Round,649
Cambs,23/06/2022,Comfort,Ottomon Six person,6,4,Sunny,Round,549
Cambs,23/06/2022,Premium,Camaro Four Person,4,5,Sunny,Round,649
Amazon,23/06/2022,Comfort,Bergen Four Person,4,2,Sunny,Square,247
Amazon,23/06/2022,Comfort,Bergen Six Person,6,3,Sunny,Square,289
Amazon,23/06/2022,Comfort,Tekapo Six person,6,3,Sunny,Round,359
Amazon,23/06/2022,Comfort,Tekapo Four person,4,3,Sunny,Round,339
Amazon,23/06/2022,Frame,Tuscany Six Person,6,5,Sunny,Round,1299
Amazon,23/06/2022,Frame,Mono Six Person,6,5,Sunny,Round,799
Amazon,23/06/2022,Urban,Rimba Six person,6,5,Sunny,Round,600
Amazon,23/06/2022,Comfort,Ottomon Six person,6,4,Sunny,Round,800
Amazon,23/06/2022,Premium,Camaro Four Person,4,5,Sunny,Round,649
Amazon,23/06/2022,Urban,Nest Two Person,2,5,Sunny,Square Round,530
Alice,23/06/2022,Comfort,Bergen Four Person,4,2,Sunny,Square,299
Alice,23/06/2022,Comfort,Bergen Six Person,6,3,Sunny,Square,350
Alice,23/06/2022,Comfort,Tekapo Six person,6,3,Sunny,Round,300
Alice,23/06/2022,Comfort,Tekapo Four person,4,3,Sunny,Round,300
Alice,23/06/2022,Frame,Tuscany Six Person,6,5,Sunny,Round,1299
Alice,23/06/2022,Frame,Mono Six Person,6,5,Sunny,Round,300
Alice,23/06/2022,Urban,Lite six person,6,2,Sunny,Square,299
Alice,23/06/2022,Comfort,Lite Four Person,4,2,Sunny,Round,249
Alice,23/06/2022,Urban,Nest Two Person,2,5,Sunny,Square Round,570
GSD,23/06/2022,Comfort,Bergen Four Person,4,2,Sunny,Square,349
GSD,23/06/2022,Comfort,Bergen Six Person,6,3,Sunny,Square,379
GSD,23/06/2022,Comfort,Tekapo Six person,6,3,Sunny,Round,349
GSD,23/06/2022,Comfort,Tekapo Four person,4,3,Sunny,Round,419
GSD,23/06/2022,Frame,Tuscany Six Person,6,5,Sunny,Round,1200
GSD,23/06/2022,Frame,Mono Six Person,6,5,Sunny,Round,799
GSD,23/06/2022,Urban,Rimba Six person,6,5,Sunny,Round,585
GSD,23/06/2022,Comfort,Ottomon Six person,6,4,Sunny,Round,600
GSD,23/06/2022,Premium,Camaro Four Person,4,5,Sunny,Round,0
Mspa,23/06/2022,Comfort,Bergen Four Person,4,2,Sunny,Square,377
Mspa,23/06/2022,Comfort,Bergen Six Person,6,3,Sunny,Square,349
Mspa,23/06/2022,Comfort,Tekapo Six person,6,3,Sunny,Round,357
Mspa,23/06/2022,Comfort,Tekapo Four person,4,3,Sunny,Round,359
Mspa,23/06/2022,Frame,Tuscany Six Person,6,5,Sunny,Round,1274
Mspa,23/06/2022,Frame,Mono Six Person,6,5,Sunny,Round,959
Mspa,23/06/2022,Urban,Rimba Six person,6,5,Sunny,Round,569
Mspa,23/06/2022,Comfort,Ottomon Six person,6,4,Sunny,Round,519
Mspa,23/06/2022,Premium,Camaro Four Person,4,5,Sunny,Round,594
Frono,23/06/2022,Comfort,Bergen Four Person,4,2,Sunny,Square,379
Frono,23/06/2022,Comfort,Bergen Six Person,6,3,Sunny,Square,349
Frono,23/06/2022,Comfort,Tekapo Six person,6,3,Sunny,Round,350
Frono,23/06/2022,Comfort,Tekapo Four person,4,3,Sunny,Round,329
Frono,23/06/2022,Frame,Tuscany Six Person,6,5,Sunny,Round,1199
Frono,23/06/2022,Frame,Mono Six Person,6,5,Sunny,Round,999
Frono,23/06/2022,Urban,Rimba Six person,6,2,Sunny,Round,339
Frono,23/06/2022,Comfort,Ottomon Six person,6,5,Sunny,Round,500
Frono,23/06/2022,Premium,Camaro Four Person,4,5,Sunny,Round,500
Cambs,24/06/2022,Comfort,Bergen Four Person,4,2,Cloudy,Square,249
Cambs,24/06/2022,Comfort,Bergen Six Person,6,3,Cloudy,Square,300
Cambs,24/06/2022,Comfort,Tekapo Six person,6,3,Cloudy,Round,529
Cambs,24/06/2022,Comfort,Tekapo Four person,4,3,Cloudy,Round,449
Cambs,24/06/2022,Frame,Tuscany Six Person,6,5,Cloudy,Round,1249
Cambs,24/06/2022,Frame,Mono Six Person,6,5,Cloudy,Round,949
Cambs,24/06/2022,Urban,Rimba Six person,6,5,Cloudy,Round,599
Cambs,24/06/2022,Comfort,Ottomon Six person,6,4,Cloudy,Round,499
Cambs,24/06/2022,Premium,Camaro Four Person,4,5,Cloudy,Round,599
Amazon,24/06/2022,Comfort,Bergen Four Person,4,2,Cloudy,Square,197
Amazon,24/06/2022,Comfort,Bergen Six Person,6,3,Cloudy,Square,239
Amazon,24/06/2022,Comfort,Tekapo Six person,6,3,Cloudy,Round,309
Amazon,24/06/2022,Comfort,Tekapo Four person,4,3,Cloudy,Round,289
Amazon,24/06/2022,Frame,Tuscany Six Person,6,5,Cloudy,Round,1249
Amazon,24/06/2022,Frame,Mono Six Person,6,5,Cloudy,Round,749
Amazon,24/06/2022,Urban,Rimba Six person,6,5,Cloudy,Round,550
Amazon,24/06/2022,Comfort,Ottomon Six person,6,4,Cloudy,Round,750
Amazon,24/06/2022,Premium,Camaro Four Person,4,5,Cloudy,Round,599
